 Teaching Research Citations Industry_Income International_Outlook
"Louisiana Tech University" 17.3 9.7 43.9 34.8 bad
"University of Baghdad" 19.5 7.9 43.5 35.2 bad
"Inha University" 23.8 20.7 23.8 64.0 good
"Polytechnic Institute of Porto" 13.5 8.7 48.5 34.6 bad
"Chonnam National University" 21.3 20.2 29.6 38.9 good
"Kuwait University" 19.1 9.9 31.7 37.4 bad
"Lahore University of Management Sciences" 19.5 12.7 33.9 35.1 bad
"University of Murcia" 22.3 13.8 32.6 35.9 good
"Universit� Saint-Joseph de Beyrouth" 26.2 10.4 24.0 35.8 good
"Embry-Riddle Aeronautical University" 16.9 9.2 44.5 34.6 bad
"Federico Santa Mar�a Technical University" 13.6 9.8 40.2 44.9 bad
"National Chengchi University" 23.4 29.3 13.2 42.0 good
"Sapporo Medical University" 29.6 11.7 32.3 44.1 good
"Xiangtan University" 14.8 12.0 46.1 38.5 bad
"China Pharmaceutical University" 22.9 13.1 35.5 57.2 good
"National University of Sciences and Technology" 21.1 11.7 35.1 34.8 good
"Okayama University" 25.6 16.6 27.0 51.6 good
"Pondicherry University" 36.5 19.2 18.3 34.5 good
"NorthWest A&F University" 20.1 13.1 37.8 45.2 good
"University of Patras" 16.5 11.6 39.4 39.4 bad
"Bauman Moscow State Technical University" 34.0 17.4 16.8 61.8 good
"University of La Frontera" 15.1 16.0 34.0 34.5 bad
"Indian Institute of Technology (Indian School of Mines) Dhanbad" 21.5 13.5 37.3 49.3 good
"University of Mazandaran" 28.2 11.6 32.9 37.4 good
"Beijing Jiaotong University" 23.4 23.5 20.3 65.2 good
"Hanoi University of Science and Technology" 14.7 8.4 42.3 37.2 bad
"Jilin University" 27.3 16.2 27.4 43.3 good
"University of Tr�s-os-Montes and Alto Douro" 21.2 13.9 32.3 34.4 good
"Czech Technical University in Prague" 20.8 17.4 23.4 44.6 good
"National Taipei University of Technology" 21.8 20.2 22.4 86.7 good
"St Marianna University School of Medicine" 27.0 7.9 36.9 34.6 good
"University of Ja�n" 16.7 14.1 34.7 35.8 bad
"Muroran Institute of Technology" 15.4 9.4 42.6 37.7 bad
"Northwest University" 19.3 12.7 37.5 40.6 bad
"University of Malaga" 20.1 11.5 33.1 36.2 good
"Shanghai Maritime University" 14.5 9.8 40.3 51.2 bad
"Tshwane University of Technology" 14.4 7.0 42.9 36.1 bad
"Chonbuk National University" 22.9 20.4 23.8 39.6 good
"Tallinn University of Technology" 17.6 13.2 27.8 47.3 bad
"Universiti Utara Malaysia" 30.9 20.8 9.3 36.8 good
"University of A Coru�a" 20.3 13.7 32.5 36.3 good
"University of Alicante" 20.0 14.8 28.7 37.1 bad
"Pontifical Catholic University of Peru" 19.9 8.6 33.8 35.9 bad
"University of Maribor" 17.0 15.8 31.0 40.0 bad
"Aichi Medical University" 26.0 10.8 32.4 34.4 good
"Ferdowsi University of Mashhad" 25.9 18.5 23.1 41.8 good
"Jiangsu University" 18.8 10.4 33.1 55.5 bad
"University of Latvia" 17.0 19.3 24.4 41.6 bad
"University of Seoul" 22.6 18.2 24.7 40.9 good
"University of Derby" 16.2 10.3 32.0 35.1 bad
"University of Debrecen" 19.9 10.6 28.0 37.7 bad
"University of Ghana" 15.6 15.5 28.1 48.0 bad
"Karab�k University" 18.3 7.6 39.2 34.4 bad
"Sultan Qaboos University" 23.8 10.6 19.1 47.4 good
"Tanta University" 20.7 7.3 34.7 34.8 good
"Yangzhou University" 15.3 10.7 40.8 41.3 bad
"Adam Mickiewicz University, Pozna?" 18.1 13.4 32.7 35.4 bad
"University of Agriculture, Faisalabad" 17.5 16.5 28.6 41.9 bad
"Gda?sk University of Technology" 17.1 12.1 37.0 38.3 bad
"Osaka City University" 24.9 14.3 26.8 39.3 good
"Tokyo University of Agriculture and Technology" 23.9 23.2 18.0 45.9 good
"University of Isfahan" 30.9 22.6 13.4 45.5 good
"University of the Punjab" 19.5 10.4 34.1 35.2 bad
"Ain Shams University" 21.0 10.1 31.5 35.6 good
"At?l?m University" 14.7 8.8 39.2 37.0 bad
"Hamamatsu University School of Medicine" 29.0 13.7 24.3 37.5 good
"Indian Institute of Science Education and Research Kolkata" 28.1 10.8 28.5 35.4 good
"Indian Institute of Technology Patna" 17.6 8.3 41.9 34.7 bad
"Tezpur University" 26.3 12.4 29.0 41.7 good
"Acharya Nagarjuna University" 39.9 9.2 15.7 41.8 good
"University of Castilla-La Mancha" 16.6 12.5 32.7 36.0 bad
"Kumamoto University" 26.0 14.1 23.2 44.8 good
"Tokyo University of Science" 21.9 24.3 19.1 41.9 good
"University of Fortaleza (UNIFOR)" 14.8 7.3 41.4 34.4 bad
"Nagasaki University" 25.9 14.4 23.3 39.0 good
"Nagoya City University" 23.2 14.0 27.7 45.5 good
"Vilnius Gediminas Technical University" 16.2 12.4 31.7 40.7 bad
"Zhejiang University of Technology" 16.7 14.2 32.3 51.4 bad
"Al-Farabi Kazakh National University" 24.3 9.6 20.7 42.8 good
"Comenius University in Bratislava" 22.2 13.1 22.3 34.6 good
"Kyushu Institute of Technology (Kyutech)" 18.7 12.4 31.0 47.4 bad
"Shinshu University" 21.5 14.4 27.9 40.8 good
"Southern Medical University" 27.2 12.2 24.9 39.5 good
"Oakland University" 25.5 12.7 24.5 35.3 good
"Robert Gordon University" 16.8 11.3 23.3 35.2 bad
"Samara University" 18.3 12.4 31.0 46.6 bad
"Semnan University" 16.9 9.9 39.3 34.4 bad
"California State University, Long Beach" 23.1 10.1 27.3 35.9 good
"Delhi Technological University" 15.8 13.1 37.5 35.3 bad
"South Valley University" 12.8 7.9 37.8 34.6 bad
"Brno University of Technology" 18.6 15.6 21.7 41.2 bad
"University of Chemistry and Technology, Prague" 24.2 14.6 17.8 40.7 good
"University of Ostrava" 16.7 13.5 29.2 34.5 bad
"Riga Technical University" 19.5 17.5 20.1 55.5 bad
"University of South Wales" 16.2 9.2 27.9 34.9 bad
"Industrial University of Santander (UIS)" 14.5 9.9 35.1 34.7 bad
"University of Cergy-Pontoise" 15.9 13.6 23.6 35.0 bad
"Edge Hill University" 14.8 10.2 33.1 34.4 bad
"Nanjing University of Aeronautics and Astronautics" 20.8 21.1 19.8 65.5 good
"Kagawa University" 20.9 11.7 28.5 40.0 good
"National University of Colombia" 19.0 14.5 26.1 35.4 bad
"Ocean University of China" 20.3 15.6 26.1 44.7 good
"?Shahid Chamran University of Ahvaz" 27.2 18.4 16.2 66.2 good
"Shiga University of Medical Science" 25.5 10.2 27.2 42.3 good
"Warsaw University of Technology" 19.2 11.8 30.7 39.8 bad
"Bandung Institute of Technology (ITB)" 22.0 16.7 16.3 89.9 good
"Budapest University of Technology and Economics" 17.4 15.8 25.3 44.0 bad
"Fayoum University" 15.7 9.8 32.7 36.0 bad
"King Mongkut�s University of Technology Thonburi" 17.3 16.7 23.6 74.0 bad
"Tokushima University" 26.5 19.1 15.0 55.1 good
"Alexandria University" 18.9 13.1 24.1 39.6 bad
"Izmir Institute of Technology" 19.4 11.0 29.4 38.9 bad
"Suranaree University of Technology" 19.7 12.3 27.0 44.5 bad
"Bu-Ali Sina University" 22.2 15.3 25.8 35.3 good
"University of Burgos" 20.8 12.0 25.7 37.5 good
"University of Guilan" 20.4 13.6 29.5 34.8 good
"Sohag University" 13.8 7.4 35.3 34.7 bad
"University of Almer�a" 17.1 13.2 26.2 36.1 bad
"Kharazmi University" 28.0 12.7 21.2 44.7 good
"National University of San Mart�n" 16.5 8.8 31.9 35.0 bad
"University of North Florida" 24.8 10.5 25.7 34.6 good
"Paris Nanterre University" 23.8 16.8 13.9 34.7 good
"University of South Africa" 22.1 19.1 15.0 35.2 good
"University of Talca" 15.3 11.2 27.5 44.7 bad
"Texas State University" 17.4 14.3 27.3 36.4 bad
"Chuo University" 27.2 10.3 23.0 36.8 good
"Democritus University of Thrace" 14.9 11.6 32.0 35.8 bad
"University of Sfax" 28.9 10.4 17.3 34.4 good
"University of Valladolid" 21.7 11.8 23.1 38.1 good
"Chung Yuan Christian University" 16.8 24.6 14.8 47.2 bad
"Corvinus University of Budapest" 17.8 13.7 23.6 34.4 bad
"Erciyes University" 19.7 16.3 20.6 84.4 bad
"National Taipei University" 19.5 14.9 25.3 35.8 bad
"National Taiwan Ocean University" 18.5 21.5 17.1 52.8 bad
"Shahrekord University" 15.6 11.1 35.5 34.8 bad
"University of Lethbridge" 16.7 12.4 22.3 34.5 bad
"National Research Saratov State University" 20.7 11.7 25.7 38.1 good
"Toho University" 21.7 13.5 25.8 39.1 good
"Ural Federal University" 23.8 17.0 12.5 51.1 good
"University of Yamanashi" 24.0 10.7 25.6 36.8 good
"Birla Institute of Technology and Science, Pilani" 19.7 10.9 30.8 35.3 bad
"Polytechnic University of Cartagena" 22.6 11.1 23.3 37.9 good
"Huaqiao University" 14.7 11.3 27.3 37.2 bad
"University of Le�n" 17.9 11.2 25.4 36.7 bad
"University of Chester" 15.8 12.7 24.8 34.8 bad
"Saitama Medical University" 23.6 9.6 28.0 38.1 good
"Sepuluh Nopember Institute of Technology" 19.6 11.1 23.4 62.6 bad
"Southwest Jiaotong University" 17.9 16.6 20.8 81.0 bad
"SASTRA University" 17.0 11.9 31.9 34.9 bad
"University of Zagreb" 17.8 12.9 25.3 37.4 bad
"De La Salle University" 17.1 12.9 26.4 34.4 bad
"Shahrood University of Technology" 17.7 13.8 27.8 35.9 bad
"University of Tunis El Manar" 25.6 9.9 18.3 34.5 good
"Czech University of Life Sciences Prague (CULS)" 17.4 13.1 18.7 49.9 bad
"North China Electric Power University" 17.3 11.9 28.5 55.9 bad
"Wenzhou Medical University" 16.7 12.7 28.0 37.7 bad
"Anadolu University" 13.0 24.1 16.5 100.0 bad
"Austral University of Chile" 15.0 12.2 22.7 46.9 bad
"Ehime University" 21.3 14.6 20.5 42.7 good
"Federal University of S�o Carlos" 26.2 13.4 17.3 41.2 good
"National Chung Hsing University" 20.8 16.5 19.0 47.1 good
"Showa University" 30.3 8.7 20.0 36.4 good
"Yokohama National University" 22.7 16.5 16.2 49.1 good
"Gunma University" 27.4 12.9 17.8 37.6 good
"Saitama University" 19.1 13.0 22.8 36.4 bad
"St Petersburg Electrotechnical University (LETI)" 19.8 13.0 20.5 54.7 bad
"University of Zanjan" 17.0 12.3 28.5 43.8 bad
"Andr�s Bello University (UNAB)" 13.3 8.0 29.8 34.6 bad
"Chungnam National University" 22.7 21.1 12.1 46.6 good
"Feng Chia University" 17.7 17.3 17.2 39.5 bad
"Imam Abdulrahman Bin Faisal University" 21.1 8.0 15.3 34.8 good
"London South Bank University" 15.4 10.4 18.1 34.8 bad
"University of Mumbai" 31.1 10.2 17.2 35.0 good
"Pontifical Catholic University of Valpara�so" 17.3 15.9 16.0 50.0 bad
"Toyohashi University of Technology (TUT)" 21.9 16.7 16.3 51.1 good
"Chiang Mai University" 20.8 14.2 18.0 48.6 good
"Incheon National University" 16.1 17.0 21.9 37.0 bad
"Mohammed V University of Rabat" 28.2 9.9 16.7 41.6 good
"Osaka Prefecture University" 22.4 13.5 20.2 41.5 good
"University of Toyama" 21.1 13.0 20.3 44.4 good
"Federal University of Cear� (UFC)" 22.4 11.8 20.7 38.6 good
"University of Manouba" 19.4 7.7 24.5 34.4 bad
"Assiut University" 15.2 9.0 25.7 34.4 bad
"Gebze Technical University" 21.0 14.1 19.4 36.7 good
"Silesian University of Technology" 16.4 9.3 31.7 36.9 bad
"SWPS University of Social Sciences and Humanities" 15.1 12.3 21.0 34.5 bad
"Catholic University of the North" 14.8 14.2 18.9 35.6 bad
"Khon Kaen University" 21.6 12.0 18.0 55.2 good
"Nara Medical University" 24.8 11.0 21.2 39.3 good
"Andhra University" 37.4 10.8 8.0 42.5 good
"Annamalai University" 29.2 8.6 18.7 35.3 good
"University of Antioquia" 16.7 17.0 17.2 40.6 bad
"University of Concepci�n" 15.4 11.6 19.7 56.6 bad
"Federal University of Vi�osa" 28.1 14.3 12.3 47.6 good
"Universitas Gadjah Mada" 23.4 11.0 15.7 61.4 good
"AGH University of Science and Technology" 17.7 13.5 23.6 38.3 bad
"Belgorod State National Research University" 19.1 9.9 20.4 43.7 bad
"KIIT University" 16.9 11.5 25.9 59.5 bad
"Tribhuvan University" 11.4 6.9 30.8 34.4 bad
"Zagazig University" 13.6 7.7 29.6 34.4 bad
"Federal University of ABC (UFABC)" 15.9 11.8 24.1 35.8 bad
"Federal University of Bahia" 21.8 13.7 18.7 34.4 good
"National University of Cuyo" 18.0 7.1 25.7 34.4 bad
"National Yunlin University of Science and Technology" 17.2 26.4 7.3 89.9 bad
"Bah�e?ehir University" 18.5 14.8 14.7 53.7 bad
"The University of Electro-Communications" 19.3 18.6 14.1 39.1 bad
"Nagaoka University of Technology" 24.7 14.6 11.7 41.7 good
"National University of C�rdoba" 20.6 9.2 21.2 35.1 good
"Anna University" 22.6 14.1 18.5 41.9 good
"Belarusian State University" 21.3 9.7 13.3 42.4 good
"University of Marrakech Cadi Ayyad" 18.0 8.5 22.7 35.4 bad
"Mie University" 20.9 11.8 20.7 43.7 good
"University of Peshawar" 25.2 10.7 15.0 34.4 good
"Saga University" 21.5 12.4 18.8 47.6 good
"Tomas Bata University in Zl�n" 18.7 17.4 12.6 37.2 bad
"Banasthali University" 33.0 10.0 11.1 39.3 good
"Hosei University" 16.8 9.7 25.9 35.2 bad
"Canterbury Christ Church University" 16.4 11.3 20.1 34.4 bad
"Federal University of Lavras" 23.9 16.8 11.2 54.8 good
"Gifu University" 23.5 11.8 16.9 38.5 good
"L.N. Gumilyov Eurasian National University" 21.6 7.5 16.6 34.4 good
"University of West Bohemia" 18.1 15.7 16.7 39.1 bad
"Yamagata University" 21.8 12.2 17.7 50.6 good
"Azarbaijan Shahid Madani University" 18.1 12.6 23.7 36.6 bad
"University of Carthage" 19.6 8.3 19.4 34.7 bad
"Nicolaus Copernicus University in Toru?" 18.8 10.5 22.3 35.4 bad
"Pontifical Catholic University of Paran�" 17.4 10.2 23.7 35.9 bad
"Southern Federal University" 20.4 10.0 20.4 41.9 good
"Tokyo University of Marine Science and Technology" 24.3 13.9 10.4 47.7 good
"Kochi University" 19.9 10.7 20.7 40.9 bad
"Nagoya Institute of Technology" 18.8 19.4 12.8 49.0 bad
"Sophia University" 21.6 11.6 14.3 36.0 good
"Lobachevsky State University of Nizhni Novgorod" 25.6 11.6 12.4 43.7 good
"Minia University" 15.5 7.2 23.5 34.5 bad
"University of Miyazaki" 20.5 9.9 21.1 36.3 good
"National Changhua University of Education" 20.3 18.6 12.1 37.4 good
"Ritsumeikan University" 19.1 13.2 16.6 36.8 bad
"Y?ld?z Technical University" 15.4 12.9 23.0 45.6 bad
"Universit� Hassan II de Casablanca" 15.9 7.6 24.8 36.4 bad
"Kagoshima University" 21.4 11.4 18.0 42.9 good
"National Chung Cheng University" 19.1 18.3 13.7 41.3 bad
"Novosibirsk State Technical University" 20.5 12.6 14.9 38.2 good
"State University of Ponta Grossa" 17.6 8.5 26.5 34.4 bad
"University of Technology, Iraq" 20.5 6.9 20.3 34.6 good
"University of Valpara�so" 16.7 9.7 18.4 34.5 bad
"Menoufia University" 15.0 7.9 24.9 36.5 bad
"Far Eastern Federal University" 21.2 11.1 11.9 40.4 good
"Kitasato University" 24.0 9.9 18.2 39.5 good
"TOBB University of Economics and Technology" 15.7 11.1 23.4 35.3 bad
"University of Nigeria Nsukka" 23.0 8.6 18.6 35.2 good
"Rio de Janeiro State University (UERJ)" 24.2 10.9 15.2 38.1 good
"Federal University of Pernambuco" 26.9 9.2 14.3 35.9 good
"Hallym University" 19.0 15.2 16.0 35.4 bad
"Kangwon National University" 17.6 15.0 17.8 36.3 bad
"Londrina State University" 21.4 13.3 16.3 34.4 good
"University of the Sinos Valley" 18.4 10.0 21.5 46.3 bad
"Marmara University" 21.3 8.9 19.4 34.6 good
"University of Mysore" 31.3 8.2 8.4 34.8 good
"Sofia University" 20.7 9.6 14.2 35.3 good
"Tokai University" 18.9 9.7 20.8 36.8 bad
"University of Engineering & Technology (UET) Lahore" 15.3 9.2 19.4 34.7 bad
"I-Shou University" 15.1 17.0 13.3 45.3 bad
"Ochanomizu University" 23.3 12.7 13.0 37.8 good
"Urmia University" 20.0 12.9 18.3 38.1 bad
"Yamaguchi University" 20.8 12.5 14.9 42.3 good
"Szent Istv�n University" 16.5 10.5 17.8 35.4 bad
"Tzu Chi University" 20.0 14.1 15.1 39.1 bad
"Yuan Ze University" 17.3 13.9 15.5 47.0 bad
"Sim�n Bol�var University" 16.9 9.9 13.8 61.1 bad
"Wroc?aw University of Science and Technology" 16.6 10.8 21.3 38.9 bad
"University of the Andes, Chile" 16.1 10.5 15.6 34.6 bad
"Federal University of Paran� (UFPR)" 24.4 11.5 12.7 35.1 good
"Prince of Songkla University" 18.1 10.1 17.6 35.4 bad
"University of Santiago, Chile (USACH)" 16.2 14.2 12.1 38.1 bad
"Federal University of Rio Grande do Norte (UFRN)" 19.6 8.7 19.0 41.6 bad
"University of Havana" 21.6 9.0 9.5 40.2 good
"Kyoto Institute of Technology" 21.5 15.9 10.3 41.3 good
"Oita University" 19.4 9.2 20.4 37.5 bad
"Osaka Medical College" 27.2 10.3 12.4 36.5 good
"University of the Ryukyus" 19.2 11.8 15.1 45.2 bad
"Del Rosario University" 16.5 9.6 15.4 35.1 bad
"University of Gda?sk" 15.7 10.6 19.7 34.7 bad
"Helwan University" 14.7 8.6 20.0 35.1 bad
"Manipal Academy of Higher Education" 24.1 11.6 9.3 40.3 good
"University of North Carolina Wilmington" 15.9 7.7 23.3 35.1 bad
"Sumy State University" 19.8 10.0 13.3 37.8 bad
"University of Dar es Salaam" 14.0 7.3 20.4 34.4 bad
"Kasetsart University" 18.6 12.8 10.3 59.8 bad
"Shizuoka University" 17.7 13.4 14.7 38.9 bad
"Soongsil University" 20.8 10.7 15.2 36.1 good
"University of Sousse" 22.7 7.8 13.6 34.4 good
"Federal University of Goi�s" 23.3 9.7 14.2 39.6 good
"King Mongkut�s Institute of Technology Ladkrabang" 17.8 19.5 6.7 82.0 bad
"Kookmin University" 18.2 10.4 16.4 38.4 bad
"University of Monastir" 20.5 8.9 12.5 34.4 good
"Seoul National University of Science and Technology (SeoulTech)" 17.7 13.5 15.7 39.4 bad
"Shimane University" 21.5 11.2 14.8 37.8 good
"South Ural State University" 16.1 10.5 20.7 39.5 bad
"University of Tlemcen" 29.1 8.8 5.6 34.8 good
"Aoyama Gakuin University" 16.3 7.9 20.9 34.8 bad
"Cukurova University" 15.2 12.5 15.6 87.5 bad
"University of Silesia in Katowice" 18.1 8.8 18.9 34.5 bad
"Bogor Agricultural University" 19.0 10.6 8.9 70.7 bad
"Fluminense Federal University" 20.0 11.3 14.8 35.2 bad
"VSB - Technical University of Ostrava" 18.6 13.2 10.1 41.4 bad
"Al-Azhar University" 15.2 8.3 16.5 34.5 bad
"Shiraz University of Medical Sciences" 16.2 10.7 20.7 35.1 bad
"University of Shizuoka" 20.9 11.9 13.5 38.1 good
"Slovak University of Technology in Bratislava" 22.5 12.4 9.8 37.1 good
"Volgograd State Technical University" 15.1 9.2 21.9 43.2 bad
"University of Dhaka" 16.0 8.8 16.4 36.6 bad
"Lodz University of Technology" 16.3 11.1 18.0 37.8 bad
"V.N. Karazin Kharkiv National University" 20.6 9.3 9.0 34.6 good
"Yazd University" 16.6 14.4 16.1 36.9 bad
"Bahauddin Zakariya University" 13.6 9.0 19.8 34.4 bad
"Guangxi University" 16.1 11.3 17.9 42.8 bad
"Santa Catarina State University" 18.1 9.3 19.6 34.5 bad
"Shahid Bahonar University of Kerman" 17.8 13.7 15.1 41.6 bad
"Technical University of Ko�ice" 20.8 12.5 10.2 44.0 good
"Thammasat University" 18.6 11.7 11.7 38.9 bad
"University of Bucharest" 18.2 10.6 15.1 36.2 bad
"Federal University of Itajub�" 16.3 8.9 19.8 36.5 bad
"University of Pardubice" 17.8 15.4 10.3 35.5 bad
"Federal University of Ouro Preto" 16.3 9.6 19.4 36.4 bad
"Mendel University in Brno" 18.4 14.7 7.3 36.0 bad
"University of the North, Colombia" 15.0 10.9 11.5 36.7 bad
"PMAS Arid Agriculture University Rawalpindi" 13.9 8.8 19.1 34.4 bad
"Yeditepe University" 18.8 12.2 11.9 68.0 bad
"Grigore T. Popa University of Medicine and Pharmacy" 17.6 7.7 14.5 34.6 bad
"Siksha �O� Anusandhan" 19.1 7.9 19.9 34.7 bad
"Tottori University" 21.6 10.8 12.4 37.3 good
"Tamkang University" 16.4 13.0 12.8 35.9 bad
"University of Tarapac�" 12.7 13.7 10.8 34.4 bad
"Dokuz Eyl�l University" 15.1 9.5 19.7 40.7 bad
"Shibaura Institute of Technology Tokyo" 16.4 12.5 10.0 41.3 bad
"State University of Santa Cruz" 27.4 7.6 8.5 35.7 good
"Taras Shevchenko National University of Kyiv" 23.5 9.8 8.3 35.0 good
"Vietnam National University (Ho Chi Minh City)" 14.1 8.7 16.0 42.8 bad
"Federal University of Esp�rito Santo" 17.9 9.3 16.2 36.1 bad
"Alzahra University" 18.1 9.9 16.8 36.8 bad
"Ankara University" 19.2 10.0 13.9 35.1 bad
"Autonomous University of Quer�taro" 15.4 9.2 17.3 38.7 bad
"University of Economics, Prague" 18.9 13.3 5.5 35.1 bad
"Yanshan University" 17.5 11.2 14.9 50.6 bad
"Amity University" 15.7 9.3 18.8 35.8 bad
"University of Hradec Kr�lov�" 16.8 10.8 12.7 34.7 bad
"University of Montenegro" 12.6 9.7 15.2 34.8 bad
"Federal University of Health Sciences of Porto Alegre (UFCSPA)" 20.3 10.5 12.9 34.4 good
"Chubu University" 13.6 9.7 17.6 36.4 bad
"Gaziantep University" 17.3 9.0 15.6 34.7 bad
"SRM Institute of Science and Technology" 16.9 8.2 18.1 34.6 bad
"Technical University of Liberec" 19.8 11.9 5.9 40.5 bad
"Autonomous University of Yucat�n" 15.8 8.1 15.9 40.2 bad
"University of Guanajuato" 16.4 8.7 13.5 34.6 bad
"Iwate University" 19.5 9.8 12.0 42.1 bad
"Technical University of Cluj-Napoca" 15.2 9.9 16.9 35.2 bad
"Akita University" 21.0 10.7 9.2 40.9 good
"Federal University of Santa Maria" 20.4 8.8 13.5 35.0 good
"Gazi University" 18.8 10.6 13.2 40.5 bad
"Moscow Aviation Institute" 24.1 11.7 3.0 64.6 good
"Multimedia University" 16.5 9.6 11.4 37.4 bad
"Siberian Federal University" 18.1 12.8 6.8 60.5 bad
"Tunghai University" 15.0 12.6 10.6 37.7 bad
"Yarmouk University" 19.4 8.3 7.1 35.6 bad
"Ege University" 17.2 10.2 13.5 37.9 bad
"University of ?�d?" 17.1 10.3 13.4 34.7 bad
"Sel�uk University" 15.5 8.5 17.7 34.7 bad
"Srinakharinwirot University" 19.9 8.4 12.6 40.6 bad
"Universiti Malaysia Sarawak (UNIMAS)" 17.8 8.5 10.2 34.7 bad
"Sechenov University" 24.5 10.0 2.6 37.8 good
"Universiti Teknologi MARA" 18.1 12.8 10.9 34.7 bad
"Naresuan University" 16.7 7.8 12.6 34.9 bad
"West University of Timi?oara" 17.9 9.2 11.9 35.5 bad
"University of Fukui" 19.7 10.7 9.7 39.7 bad
"Hashemite University" 13.5 11.3 8.3 34.4 bad
"Kwansei Gakuin University" 15.4 9.0 13.4 35.3 bad
"Alexandru Ioan Cuza University" 16.7 11.1 9.7 34.5 bad
"Cochin University of Science and Technology" 23.3 10.7 7.7 34.7 good
"Gubkin Russian State University of Oil and Gas" 17.8 11.5 8.2 61.5 bad
"Kansai University" 24.3 8.0 6.9 35.4 good
"Slovak University of Agriculture in Nitra" 17.7 8.4 9.7 36.2 bad
"PSG College of Technology" 19.8 9.5 12.8 34.9 bad
"Shahed University" 19.3 11.6 10.6 37.2 bad
"University of Biskra" 15.7 7.3 14.0 34.4 bad
"University of Colombo" 13.5 8.0 13.9 34.8 bad
"Polytechnic University of Bucharest" 16.8 10.0 12.9 34.4 bad
"University of Hyogo" 16.7 12.1 10.4 46.4 bad
"Silpakorn University" 15.5 8.3 13.6 39.9 bad
"Autonomous University of San Luis Potosi" 17.8 7.4 11.9 34.6 bad
"University of Constantine 1" 19.4 7.5 7.9 35.4 bad
"Federal University of Par�" 17.1 9.6 11.8 34.8 bad
"GITAM University" 16.7 7.7 15.0 35.2 bad
"Latvia University of Life Sciences and Technologies" 17.4 17.6 5.2 36.9 bad
"Polytechnic University of Timi?oara" 14.2 8.2 17.1 35.5 bad
"Kazan National Research Technological University" 17.8 8.4 10.5 49.0 bad
"Maharaja Sayajirao University of Baroda" 14.1 9.3 17.2 34.9 bad
"Mahasarakham University" 18.5 8.0 11.0 35.5 bad
"Meiji University" 17.7 8.6 11.3 35.6 bad
"Meijo University" 15.6 10.0 11.6 35.5 bad
"Moscow Power Engineering Institute" 18.7 10.7 5.8 56.5 bad
"University of South China" 19.2 9.7 10.9 38.3 bad
"University of the Andes, Venezuela" 15.0 7.9 9.1 34.4 bad
"Ufa State Aviation Technical University" 20.7 7.6 10.5 34.5 good
"Ac?badem University" 22.0 8.6 7.5 34.8 good
"National Polytechnic University (IPN)" 17.6 9.0 10.7 40.4 bad
"Pontifical Bolivarian University (UPB) � Medell�n" 17.5 8.9 7.8 34.7 bad
"University of Veterinary and Animal Sciences, Lahore" 14.5 10.3 8.5 42.2 bad
"Ivan Franko National University of Lviv" 21.6 7.9 4.3 34.4 good
"Ming Chuan University" 13.6 11.1 10.3 35.0 bad
"National Chin-Yi University of Technology" 14.0 19.4 4.4 44.7 bad
"University of Science and Technology of Oran Mohamed-Boudiaf" 18.9 7.1 7.1 34.8 bad
"State University of Maring�" 19.6 10.0 8.8 34.7 bad
"Tokat Gaziosmanpa?a University" 13.1 7.7 17.8 34.6 bad
"Akdeniz University" 15.2 9.0 13.9 35.2 bad
"Autonomous University of Puebla" 16.0 7.9 12.2 34.7 bad
"Michoac�n University of San Nicol�s of Hidalgo" 13.4 10.2 11.3 35.4 bad
"National University of Kaohsiung" 13.6 16.1 6.1 38.6 bad
"Autonomous University of Sinaloa" 13.3 7.9 14.3 35.3 bad
"National Chiayi University" 14.8 12.1 8.2 65.6 bad
"Pirogov Russian National Research Medical University" 23.2 9.5 3.5 37.9 good
"University of B�o-B�o" 13.2 8.4 7.9 37.3 bad
"Kanagawa University" 14.6 7.5 12.3 34.8 bad
"Kaunas University of Technology" 16.5 11.4 5.6 38.9 bad
"Sathyabama Institute of Science and Technology" 18.3 9.0 10.2 35.0 bad
"Ba?kent University" 21.4 10.9 4.8 40.1 good
"Kogakuin University" 17.2 9.8 8.8 42.0 bad
"Tokyo University of Agriculture" 16.0 9.8 10.5 36.4 bad
"Federal University of Alagoas" 16.5 6.8 12.2 34.9 bad
"Ibaraki University" 16.4 10.0 8.1 40.2 bad
"King Mongkut's University of Technology North Bangkok" 15.1 9.9 10.1 41.9 bad
"University of Sciences and Technology Houari Boumediene" 16.1 7.5 8.1 34.9 bad
"Federal Rural University of the Semi-Arid Region" 27.5 7.7 1.7 34.4 good
"University of Sargodha" 11.7 8.3 10.5 34.4 bad
"Voronezh State University" 21.1 8.7 4.2 35.3 good
"Doshisha University" 15.6 9.8 7.7 35.7 bad
"University of Guadalajara" 15.4 7.8 10.0 34.4 bad
"Ivane Javakhishvili Tbilisi State University" 14.7 9.4 4.6 34.8 bad
"Utsunomiya University" 18.0 10.3 6.0 36.6 bad
"Autonomous University of Nuevo Le�n" 12.5 7.7 12.1 35.4 bad
"Chaoyang University of Technology" 13.7 12.2 7.1 41.5 bad
"National Technical University Kharkiv Polytechnic Institute" 19.6 7.8 5.4 34.9 bad
"Tamil Nadu Agricultural University" 23.5 8.9 2.7 40.5 good
"Tokyo City University" 16.7 10.3 6.8 41.6 bad
"M'Hamed Bougara University of Boumerd�s" 13.3 7.0 11.1 34.5 bad
"Perm National Research Polytechnic University" 19.3 10.5 2.1 54.9 bad
